Index,Type,ILL18StartIGB01, ILL18EndIGB01,CD1ArrivalTime,ILL12Start, ILL12End,ILL13StartIGB10, ILL13EndIGB10,CD29ArrivalTime(fromZhang)
1,DF,2017-05-19 11:30:00,2017-05-19 13:10:00,2017-05-19 11:41:00,2017-05-19 12:00:00,2017-05-19 13:50:00,2017-05-19 12:20:00,2017-05-19 13:00:00,No Data
2,DF,2017-05-29 16:50:00,2017-05-29 17:45:00,2017-05-29 16:58:31,2017-05-29 16:58:00,2017-05-29 18:45:00,2017-05-29 16:55:00,2017-05-29 18:25:00,No Data
3,DF,2017-06-03 20:05:00,2017-06-03 20:50:00,2017-06-03 20:23:07,2017-06-03 20:25:00,2017-06-03 22:00:00,2017-06-03 20:40:00,2017-06-03 20:55:00,No Data
4,DF,2017-06-03 23:15:00,2017-06-03 23:55:00,2017-06-03 23:27:38,2017-06-03 23:27:00,2017-06-04 01:10:00,2017-06-03 23:25:00,2017-06-04 00:05:00,No Data
5,DF,2017-06-14 19:10:00,2017-06-14 20:45:00,2017-06-14 19:30:48,2017-06-14 19:30:00,2017-06-14 21:25:00,2017-06-14 19:25:00,2017-06-14 21:30:00,No Data
6,DF,2018-06-11 10:20:00,2018-06-11 11:20:00,2018-06-11 10:46:39,2018-06-11 10:47:00,2018-06-11 11:50:00,2018-06-11 11:10:00,2018-06-11 11:25:00,No Data
7,DF,2018-06-12 17:50:00,2018-06-12 19:25:00,2018-06-12 18:29:16,2018-06-12 18:30:00,2018-06-12 19:50:00,2018-06-12 18:47:00,2018-06-12 19:45:00,No Data
8,DF,2018-07-25 16:45:00,2018-07-25 17:30:00,2018-07-25 16:56:40,2018-07-25 16:55:00,2018-07-25 18:00:00,2018-07-25 16:55:00,2018-07-25 18:15:00,No Data
9,DF,2018-08-08 17:40:00,2018-08-08 18:10:00,2018-08-08 17:49:25,2018-08-08 17:45:00,2018-08-08 18:30:00,2018-08-08 17:45:00,2018-08-08 18:40:00,No Data
10,DF,2019-06-10 16:45:00,2019-06-10 18:35:00,2019-06-10 17:02:51,2019-06-10 17:10:00,2019-06-10 19:20:00,2019-06-10 17:18:00,2019-06-10 20:00:00,2019-06-10 18:44:04
