Index,Type,ILL18StartIGB01,ILL18EndIGB01,CD1ArrivalTime,ILL12Start,ILL12End,ILL13StartIGB10,ILL13EndIGB10,CD29ArrivalTime(fromZhang)
1,DF,2017-05-19T11:30:00,2017-05-19T13:10:00,2017-05-19T11:41:00,2017-05-19T12:00:00,2017-05-19T13:50:00,2017-05-19T12:20:00,2017-05-19T13:00:00,NoTData
2,DF,2017-05-29T16:50:00,2017-05-29T17:45:00,2017-05-29T16:58:31,2017-05-29T16:58:00,2017-05-29T18:45:00,2017-05-29T16:55:00,2017-05-29T18:25:00,NoTData
3,DF,2017-06-03T20:05:00,2017-06-03T20:50:00,2017-06-03T20:23:07,2017-06-03T20:25:00,2017-06-03T22:00:00,2017-06-03T20:40:00,2017-06-03T20:55:00,NoTData
4,DF,2017-06-03T23:15:00,2017-06-03T23:55:00,2017-06-03T23:27:38,2017-06-03T23:27:00,2017-06-04T01:10:00,2017-06-03T23:25:00,2017-06-04T00:05:00,NoTData
5,DF,2017-06-14T19:10:00,2017-06-14T20:45:00,2017-06-14T19:30:48,2017-06-14T19:30:00,2017-06-14T21:25:00,2017-06-14T19:25:00,2017-06-14T21:30:00,NoTData
6,DF,2018-06-11T10:20:00,2018-06-11T11:20:00,2018-06-11T10:46:39,2018-06-11T10:47:00,2018-06-11T11:50:00,2018-06-11T11:10:00,2018-06-11T11:25:00,NoTData
7,DF,2018-06-12T17:50:00,2018-06-12T19:25:00,2018-06-12T18:29:16,2018-06-12T18:30:00,2018-06-12T19:50:00,2018-06-12T18:47:00,2018-06-12T19:45:00,NoTData
8,DF,2018-07-25T16:45:00,2018-07-25T17:30:00,2018-07-25T16:56:40,2018-07-25T16:55:00,2018-07-25T18:00:00,2018-07-25T16:55:00,2018-07-25T18:15:00,NoTData
9,DF,2018-08-08T17:40:00,2018-08-08T18:10:00,2018-08-08T17:49:25,2018-08-08T17:45:00,2018-08-08T18:30:00,2018-08-08T17:45:00,2018-08-08T18:40:00,NoTData
10,DF,2019-06-10T16:45:00,2019-06-10T18:35:00,2019-06-10T17:02:51,2019-06-10T17:10:00,2019-06-10T19:20:00,2019-06-10T17:18:00,2019-06-10T20:00:00,2019-06-10T18:44:04
11,DF,2019-06-10T21:45:00,2019-06-10T23:15:00,2019-06-10T22:01:17,2019-06-10T21:55:00,2019-06-11T01:50:00,2019-06-10T22:00:00,2019-06-11T02:00:00,2019-10-06T22:24:52
12,DF,2019-06-20T08:55:00,2019-06-20T09:55:00,2019-06-20T09:12:17,2019-06-20T09:13:00,2019-06-20T10:50:00,2019-06-20T09:30:00,2019-06-20T11:30:00,NoTData
13,DF,2019-06-21T19:25:00,2019-06-21T20:55:00,2019-06-21T19:34:42,2019-06-21T19:20:00,2019-06-21T21:50:00,2019-06-21T19:30:00,2019-06-21T22:00:00,2019-06-21T20:45:43
14,DF,2019-07-01T22:50:00,2019-07-01T23:50:00,2019-07-01T23:00:29,2019-07-01T23:10:00,2019-07-02T01:30:00,2019-07-01T23:15:00,2019-07-02T01:30:00,NoTData
15,DF,2019-07-02T22:00:00,2019-07-02T22:50:00,2019-07-02T22:09:28,2019-07-02T22:09:00,2019-07-02T23:20:00,2019-07-02T22:15:00,2019-07-02T23:35:00,2019-07-02T00:29:29
16,DF,2019-07-03T16:30:00,2019-07-03T17:10:00,2019-07-03T16:43:15,2019-07-03T16:45:00,2019-07-03T17:55:00,2019-07-03T17:20:00,2019-07-03T18:30:00,2019-07-03T23:51:46
17,DF,2019-07-15T03:25:00,2019-07-15T04:10:00,2019-07-15T03:40:21,2019-07-15T03:35:00,2019-07-15T05:10:00,2019-07-15T03:45:00,2019-07-15T05:00:00,2019-07-15T05:28:15
18,DF,2019-07-26T17:25:00,2019-07-26T18:45:00,2019-07-26T17:33:12,2019-07-26T17:33:00,2019-07-26T18:50:00,2019-07-26T17:30:00,2019-07-26T19:05:00,2019-07-26T18:50:25
19,DF,2019-08-11T16:55:00,2019-08-11T17:40:00,2019-08-11T17:02:34,2019-08-11T17:00:00,2019-08-11T18:15:00,2019-08-11T16:43:00,2019-08-11T18:45:00,2019-08-11T18:08:55
20,DF,2019-08-20T16:30:00,2019-08-20T17:20:00,2019-08-20T16:40:59,2019-08-20T16:40:00,2019-08-20T18:00:00,2019-08-20T16:50:00,2019-08-20T18:10:00,2019-08-20T18:03:44
21,DF,2020-06-04T15:00:00,2020-06-04T17:00:00,NoTData,2020-06-04T15:10:00,2020-06-04T17:35:00,2020-06-04T15:15:00,2020-06-04T17:50:00,2020-06-04T15:38:51
22,DF,2020-06-07T07:40:00,2020-06-07T08:50:00,NoTData,2020-06-07T07:55:00,2020-06-07T10:15:00,2020-06-07T08:10:00,2020-06-07T09:50:00,2020-06-07T09:49:32
23,DF,2020-06-08T13:35:00,2020-06-08T14:25:00,NoTData,2020-06-08T14:00:00,2020-06-08T15:15:00,2020-06-08T14:20:00,2020-06-08T15:55:00,2020-06-08T15:51:59
24,DF,2020-06-08T16:40:00,2020-06-08T17:35:00,NoTData,2020-06-08T16:50:00,2020-06-08T18:25:00,2020-06-08T17:00:00,2020-06-08T18:50:00,2020-06-08T17:59:10
25,F?,2020-06-09T23:55:00,2020-06-10T00:10:00,NoTData,2020-06-10T00:25:00,2020-06-10T01:20:00,2020-06-10T00:50:00,2020-06-10T01:40:00,2020-06-10T01:05:43
26,DF,2020-06-16T22:55:00,2020-06-16T23:10:00,NoTData,2020-06-16T23:30:00,2020-06-17T00:00:00,2020-06-16T23:50:00,2020-06-17T00:30:00,2020-06-16T23:56:18
27,DF,2020-06-17T01:10:00,2020-06-17T01:50:00,NoTData,2020-06-17T01:30:00,2020-06-17T02:45:00,2020-06-17T01:50:00,2020-06-17T02:00:00,NoTData
28,DF,2020-06-17T03:05:00,2020-06-17T04:30:00,NoTData,2020-06-17T03:25:00,2020-06-17T05:20:00,2020-06-17T03:40:00,2020-06-17T06:05:00,2020-06-17T04:06:58
29,DF,2020-06-29T04:30:00,2020-06-29T05:35:00,NoTData,2020-06-29T04:50:00,2020-06-29T06:20:00,2020-06-29T05:05:00,2020-06-29T06:40:00,2020-06-29T05:49:13
30,DF,2020-07-28T16:35:00,2020-07-28T17:15:00,NoTData,2020-07-28T16:50:00,2020-07-28T18:30:00,2020-07-28T18:40:00,2020-07-28T18:55:00,2020-07-28T17:58:55
31,DF,2020-08-16T21:10:00,2020-08-16T22:00:00,NoTData,2020-08-16T21:25:00,2020-08-16T22:50:00,2020-08-16T21:40:00,2020-08-16T23:45:00,2020-08-16T23:04:11
32,DF,2020-08-30T05:05:00,2020-08-30T10:10:00,NoTData,2020-08-30T05:20:00,2020-08-30T12:35:00,2020-08-30T05:30:00,2020-08-30T11:05:00,2020-08-30T05:52:23
