Index,Type,ILL18StartIGB01,ILL18EndIGB01,CD1ArrivalTime,ILL12Start,ILL12End,ILL13StartIGB10,ILL13EndIGB10,CD29ArrivalTime(fromZhang)
10,DF,2019-06-10T16:45:00,2019-06-10T18:35:00,2019-06-10T17:02:51,2019-06-10T17:10:00,2019-06-10T19:20:00,2019-06-10T17:18:00,2019-06-10T20:00:00,2019-06-10T18:44:04
11,DF,2019-06-10T21:45:00,2019-06-10T23:15:00,2019-06-10T22:01:17,2019-06-10T21:55:00,2019-06-11T01:50:00,2019-06-10T22:00:00,2019-06-11T02:00:00,2019-10-06T22:24:52
12,DF,2019-06-20T08:55:00,2019-06-20T09:55:00,2019-06-20T09:12:17,2019-06-20T09:13:00,2019-06-20T10:50:00,2019-06-20T09:30:00,2019-06-20T11:30:00,NoTData
13,DF,2019-06-21T19:25:00,2019-06-21T20:55:00,2019-06-21T19:34:42,2019-06-21T19:20:00,2019-06-21T21:50:00,2019-06-21T19:30:00,2019-06-21T22:00:00,2019-06-21T20:45:43
14,DF,2019-07-01T22:50:00,2019-07-01T23:50:00,2019-07-01T23:00:29,2019-07-01T23:10:00,2019-07-02T01:30:00,2019-07-01T23:15:00,2019-07-02T01:30:00,NoTData
15,DF,2019-07-02T22:00:00,2019-07-02T22:50:00,2019-07-02T22:09:28,2019-07-02T22:09:00,2019-07-02T23:20:00,2019-07-02T22:15:00,2019-07-02T23:35:00,2019-07-02T00:29:29
16,DF,2019-07-03T16:30:00,2019-07-03T17:10:00,2019-07-03T16:43:15,2019-07-03T16:45:00,2019-07-03T17:55:00,2019-07-03T17:20:00,2019-07-03T18:30:00,2019-07-03T23:51:46
17,DF,2019-07-15T03:25:00,2019-07-15T04:10:00,2019-07-15T03:40:21,2019-07-15T03:35:00,2019-07-15T05:10:00,2019-07-15T03:45:00,2019-07-15T05:00:00,2019-07-15T05:28:15
18,DF,2019-07-26T17:25:00,2019-07-26T18:45:00,2019-07-26T17:33:12,2019-07-26T17:33:00,2019-07-26T18:50:00,2019-07-26T17:30:00,2019-07-26T19:05:00,2019-07-26T18:50:25
19,DF,2019-08-11T16:55:00,2019-08-11T17:40:00,2019-08-11T17:02:34,2019-08-11T17:00:00,2019-08-11T18:15:00,2019-08-11T16:43:00,2019-08-11T18:45:00,2019-08-11T18:08:55
20,DF,2019-08-20T16:30:00,2019-08-20T17:20:00,2019-08-20T16:40:59,2019-08-20T16:40:00,2019-08-20T18:00:00,2019-08-20T16:50:00,2019-08-20T18:10:00,2019-08-20T18:03:44
