Index,Type,ILL18StartIGB01, ILL18EndIGB01,CD1ArrivalTime,ILL12Start, ILL12End,ILL13StartIGB10, ILL13EndIGB10,CD29ArrivalTime(fromZhang)
21,DF,2020-06-04 15:00:00,2020-06-04 17:00:00,No Data,2020-06-04 15:10:00,2020-06-04 17:35:00,2020-06-04 15:15:00,2020-06-04 17:50:00,2020-06-04 15:38:51
22,DF,2020-06-07 07:40:00,2020-06-07 08:50:00,No Data,2020-06-07 07:55:00,2020-06-07 10:15:00,2020-06-07 08:10:00,2020-06-07 09:50:00,2020-06-07 09:49:32
23,DF,2020-06-08 13:35:00,2020-06-08 14:25:00,No Data,2020-06-08 14:00:00,2020-06-08 15:15:00,2020-06-08 14:20:00,2020-06-08 15:55:00,2020-06-08 15:51:59
24,DF,2020-06-08 16:40:00,2020-06-08 17:35:00,No Data,2020-06-08 16:50:00,2020-06-08 18:25:00,2020-06-08 17:00:00,2020-06-08 18:50:00,2020-06-08 17:59:10
25,F?,2020-06-09 23:55:00,2020-06-10 00:10:00,No Data,2020-06-10 00:25:00,2020-06-10 01:20:00,2020-06-10 00:50:00,2020-06-10 01:40:00,2020-06-10 01:05:43
26,DF,2020-06-16 22:55:00,2020-06-16 23:10:00,No Data,2020-06-16 23:30:00,2020-06-17 00:00:00,2020-06-16 23:50:00,2020-06-17 00:30:00,2020-06-16 23:56:18
27,DF,2020-06-17 01:10:00,2020-06-17 01:50:00,No Data,2020-06-17 01:30:00,2020-06-17 02:45:00,2020-06-17 01:50:00,2020-06-17 02:00:00,No Data
28,DF,2020-06-17 03:05:00,2020-06-17 04:30:00,No Data,2020-06-17 03:25:00,2020-06-17 05:20:00,2020-06-17 03:40:00,2020-06-17 06:05:00,2020-06-17 04:06:58
29,DF,2020-06-29 04:30:00,2020-06-29 05:35:00,No Data,2020-06-29 04:50:00,2020-06-29 06:20:00,2020-06-29 05:05:00,2020-06-29 06:40:00,2020-06-29 05:49:13
30,DF,2020-07-28 16:35:00,2020-07-28 17:15:00,No Data,2020-07-28 16:50:00,2020-07-28 18:30:00,2020-07-28 18:40:00,2020-07-28 18:55:00,2020-07-28 17:58:55
31,DF,2020-08-16 21:10:00,2020-08-16 22:00:00,No Data,2020-08-16 21:25:00,2020-08-16 22:50:00,2020-08-16 21:40:00,2020-08-16 23:45:00,2020-08-16 23:04:11
32,DF,2020-08-30 05:05:00,2020-08-30 10:10:00,No Data,2020-08-30 05:20:00,2020-08-30 12:35:00,2020-08-30 05:30:00,2020-08-30 11:05:00,2020-08-30 05:52:23
