Index,Type,ILL18StartIGB01,ILL18EndIGB01,CD1ArrivalTime,ILL12Start,ILL12End,ILL13StartIGB10,ILL13EndIGB10,CD29ArrivalTime(fromZhang)
21,DF,2020-06-04T15:00:00,2020-06-04T17:00:00,NoTData,2020-06-04T15:10:00,2020-06-04T17:35:00,2020-06-04T15:15:00,2020-06-04T17:50:00,2020-06-04T15:38:51
22,DF,2020-06-07T07:40:00,2020-06-07T08:50:00,NoTData,2020-06-07T07:55:00,2020-06-07T10:15:00,2020-06-07T08:10:00,2020-06-07T09:50:00,2020-06-07T09:49:32
23,DF,2020-06-08T13:35:00,2020-06-08T14:25:00,NoTData,2020-06-08T14:00:00,2020-06-08T15:15:00,2020-06-08T14:20:00,2020-06-08T15:55:00,2020-06-08T15:51:59
24,DF,2020-06-08T16:40:00,2020-06-08T17:35:00,NoTData,2020-06-08T16:50:00,2020-06-08T18:25:00,2020-06-08T17:00:00,2020-06-08T18:50:00,2020-06-08T17:59:10
25,F?,2020-06-09T23:55:00,2020-06-10T00:10:00,NoTData,2020-06-10T00:25:00,2020-06-10T01:20:00,2020-06-10T00:50:00,2020-06-10T01:40:00,2020-06-10T01:05:43
26,DF,2020-06-16T22:55:00,2020-06-16T23:10:00,NoTData,2020-06-16T23:30:00,2020-06-17T00:00:00,2020-06-16T23:50:00,2020-06-17T00:30:00,2020-06-16T23:56:18
27,DF,2020-06-17T01:10:00,2020-06-17T01:50:00,NoTData,2020-06-17T01:30:00,2020-06-17T02:45:00,2020-06-17T01:50:00,2020-06-17T02:00:00,NoTData
28,DF,2020-06-17T03:05:00,2020-06-17T04:30:00,NoTData,2020-06-17T03:25:00,2020-06-17T05:20:00,2020-06-17T03:40:00,2020-06-17T06:05:00,2020-06-17T04:06:58
29,DF,2020-06-29T04:30:00,2020-06-29T05:35:00,NoTData,2020-06-29T04:50:00,2020-06-29T06:20:00,2020-06-29T05:05:00,2020-06-29T06:40:00,2020-06-29T05:49:13
30,DF,2020-07-28T16:35:00,2020-07-28T17:15:00,NoTData,2020-07-28T16:50:00,2020-07-28T18:30:00,2020-07-28T18:40:00,2020-07-28T18:55:00,2020-07-28T17:58:55
31,DF,2020-08-16T21:10:00,2020-08-16T22:00:00,NoTData,2020-08-16T21:25:00,2020-08-16T22:50:00,2020-08-16T21:40:00,2020-08-16T23:45:00,2020-08-16T23:04:11
32,DF,2020-08-30T05:05:00,2020-08-30T10:10:00,NoTData,2020-08-30T05:20:00,2020-08-30T12:35:00,2020-08-30T05:30:00,2020-08-30T11:05:00,2020-08-30T05:52:23
